LGDCode,LGDName,EPG
N09000001,Antrim and Newtownabbey,Northern EPG
N09000011,Ards and North Down,Southern EPG
N09000002,Armagh City Banbridge and Craigavon,Southern EPG
N09000003,Belfast,Belfast EPG
N09000004,Causeway Coast and Glens,Northern EPG
N09000005,Derry City and Strabane,Northern EPG
N09000006,Fermanagh and Omagh,Southern EPG
N09000007,Lisburn and Castlereagh,Southern EPG
N09000008,Mid and East Antrim,Northern EPG
N09000009,Mid Ulster,Southern EPG
N09000010,Newry Mourne and Down,Southern EPG
