LACode,LAName,LRPName
S12000035,Argyll and Bute,Argyll and Bute 
S12000008,East Ayrshire,Ayrshire 
S12000021,North Ayrshire,Ayrshire 
S12000028,South Ayrshire,Ayrshire 
S12000006,Dumfries and Galloway,Dumfries and Galloway 
S12000045,East Dunbartonshire,Dunbartonshire 
S12000039,West Dunbartonshire,Dunbartonshire 
S12000047,Fife,Fife 
S12000005,Clackmannanshire,Forth Valley Local Resilience Partnership
S12000014,Falkirk,Forth Valley Local Resilience Partnership
S12000030,Stirling,Forth Valley Local Resilience Partnership
S12000049,Glasgow City,Glasgow 
S12000033,Aberdeen City,Grampian 
S12000034,Aberdeenshire,Grampian 
S12000020,Moray,Grampian 
S12000017,Highland,Highlands and Islands
S12000013,Na h-Eileanan Siar,Highlands and Islands
S12000023,Orkney Islands,Highlands and Islands
S12000027,Shetland Islands,Highlands and Islands
S12000050,North Lanarkshire,Lanarkshire 
S12000029,South Lanarkshire,Lanarkshire 
S12000036,City of Edinburgh,Lothian and Borders 
S12000010,East Lothian,Lothian and Borders 
S12000019,Midlothian,Lothian and Borders 
S12000026,Scottish Borders,Lothian and Borders 
S12000040,West Lothian,Lothian and Borders 
S12000011,East Renfrewshire,Renfrewshire and Inverclyde 
S12000018,Inverclyde,Renfrewshire and Inverclyde 
S12000038,Renfrewshire,Renfrewshire and Inverclyde 
S12000041,Angus,Tayside 
S12000042,Dundee City,Tayside 
S12000048,Perth and Kinross,Tayside 
